term,estimate,std.error,statistic,p.value,conf.low_95,conf.high_95,type
Max Elevation,3.62997014186151,1.73659830480056,2.09182055962958,0.0431401650020308,0.436505323329436,7.32777996953385,Within-region speciation
Area,0.659401933181087,0.341608164228401,1.93318894404663,0.0614844501838607,0.0161932003838067,1.3682542270897,Within-region speciation
Isolation,6.89767547323158,2.03472018217829,3.39280433848641,0.00147779347538665,3.26414662963324,11.3429225673856,Within-region speciation
Area,1.48183290247412,0.151651066431306,9.77136104519093,8.46417053106231e-13,1.1999815887896,1.79763381796495,Between-region speciation
Isolation,1.99956214541803,1.15967824713055,1.72423175415164,0.0914014306263501,-0.228196654587072,4.33391664120852,Between-region speciation
Isolation Squared,-0.335440810499813,0.251529335029802,-1.33359565881418,0.188939271040364,-0.840870910864982,0.148913411904788,Between-region speciation
Area,1.48452691562399,0.156191934775741,9.50450429950475,1.99754576510352e-12,1.19462938147456,1.81035916694593,Number Endemics
Isolation,1.78584271759314,1.17971475940172,1.51379195976052,0.136919844432185,-0.482854886966605,4.15853664513719,Number Endemics
Isolation Squared,-0.278544385626499,0.255161083489432,-1.09164133423989,0.280675581555653,-0.790577882053135,0.213582300251252,Number Endemics
Fragmentation,0.132559548179841,0.0640927252571119,2.06824639844959,0.0442658284165332,0.0184648281393606,0.272434081679652,Number Endemics
Max Elevation,NA,NA,NA,NA,NA,NA,Between-region speciation
Mixed Origin,NA,NA,NA,NA,NA,NA,Between-region speciation
Continental,NA,NA,NA,NA,NA,NA,Between-region speciation
Fragmentation,NA,NA,NA,NA,NA,NA,Between-region speciation
Max Elevation,NA,NA,NA,NA,NA,NA,Number Endemics
Mixed Origin,NA,NA,NA,NA,NA,NA,Number Endemics
Continental,NA,NA,NA,NA,NA,NA,Number Endemics
Isolation Squared,NA,NA,NA,NA,NA,NA,Within-region speciation
Mixed Origin,NA,NA,NA,NA,NA,NA,Within-region speciation
Continental,NA,NA,NA,NA,NA,NA,Within-region speciation
Fragmentation,NA,NA,NA,NA,NA,NA,Within-region speciation
